Sex,Status,Education,City
Female,Married,University,Glasgow
Female,Married,Primary,Edinburgh
Female,Married,Secondary,Dundee
Female,Married,Primary,Glasgow
Female,Married,Secondary,Glasgow
Female,Married,Secondary,Glasgow
Female,Married,Primary,Glasgow
Female,Married,Secondary,Glasgow
Female,Married,Secondary,Glasgow
Female,Married,Secondary,Glasgow
Female,Single,Secondary,Glasgow
Female,Single,Primary,Glasgow
Female,Single,University,Edinburgh
Female,Single,Primary,Edinburgh
Female,Single,Secondary,Edinburgh
Female,Single,University,Edinburgh
Female,Single,Primary,Edinburgh
Female,Married,University,Edinburgh
Female,Married,Secondary,Edinburgh
Female,Married,Primary,Edinburgh
Female,Married,Primary,Edinburgh
Female,Married,Secondary,Edinburgh
Male,Married,Primary,Edinburgh
Male,Divorced,Secondary,Edinburgh
Male,Divorced,University,Edinburgh
Male,Couple,Primary,Dundee
Male,Couple,Secondary,Dundee
Male,Couple,University,Dundee
Male,Single,University,Dundee
Male,Single,Secondary,Dundee
Male,Single,Secondary,Dundee
Male,Single,Primary,Dundee
Male,Single,University,Dundee
Male,Single,Primary,Dundee
Male,Single,University,Dundee
Male,Single,University,Dundee
Male,Single,Primary,Dundee
Male,Single,Primary,Dundee
Male,Single,University,Glasgow
Male,Single,Secondary,Glasgow
Male,Single,University,Glasgow
