"","protein","wv1","wv2","wv3","wv4","wv5","wv6","wv7","wv8","wv9","wv10","wv11","wv12","wv13","wv14","wv15","wv16","wv17","wv18","wv19","wv20","wv21","wv22","wv23","wv24","wv25","wv26","wv27","wv28","wv29","wv30","wv31","wv32","wv33","wv34","wv35","wv36","wv37","wv38","wv39","wv40","wv41","wv42","wv43","wv44","wv45","wv46","wv47","wv48","wv49","wv50","wv51","wv52","wv53","wv54","wv55","wv56","wv57","wv58","wv59","wv60","wv61","wv62","wv63","wv64","wv65","wv66","wv67","wv68"
"1",13.8,0.0415,0.0592,0.0791,0.0933,0.0929,0.0807,0.0729,0.0689,0.0649,0.0642,0.0721,0.0895,0.1065,0.1319,0.1931,0.2591,0.2873,0.2897,0.2796,0.2646,0.2521,0.2437,0.2372,0.2259,0.2083,0.1911,0.1777,0.1741,0.1929,0.2027,0.2095,0.2166,0.2193,0.2145,0.2026,0.1928,0.1843,0.2013,0.2807,0.421,0.4987,0.4779,0.4363,0.3948,0.3706,0.3832,0.4172,0.4407,0.4527,0.4531,0.4411,0.428,0.4152,0.4046,0.3904,0.3827,0.4143,0.4704,0.4909,0.5026,0.4997,0.4917,0.4896,0.4967,0.5306,0.5751,0.6241,0.6618
"2",12.5,0.0389,0.0559,0.0744,0.0872,0.087,0.0755,0.0682,0.0645,0.0608,0.0603,0.0676,0.0839,0.0994,0.1234,0.1816,0.2435,0.2697,0.2713,0.2614,0.2467,0.2346,0.2269,0.2207,0.2101,0.1937,0.1772,0.1646,0.1608,0.1779,0.1873,0.1933,0.2006,0.2038,0.1993,0.1882,0.179,0.1716,0.1879,0.264,0.3975,0.4703,0.4498,0.4092,0.3697,0.3468,0.3584,0.3898,0.4125,0.4241,0.4246,0.4128,0.3994,0.3869,0.3768,0.3641,0.3571,0.3868,0.4397,0.4592,0.4703,0.4682,0.4601,0.4589,0.4657,0.4984,0.5423,0.5881,0.6256
"3",8.4,0.0392,0.0551,0.0724,0.0846,0.085,0.0741,0.0673,0.0637,0.06,0.0597,0.067,0.0825,0.0974,0.1218,0.1801,0.24,0.2646,0.2658,0.2544,0.2393,0.2275,0.2205,0.2144,0.2042,0.1882,0.1721,0.1598,0.155,0.1696,0.1789,0.1836,0.1918,0.1962,0.192,0.1816,0.1728,0.1663,0.1836,0.2608,0.3924,0.4623,0.4415,0.3994,0.3595,0.3368,0.3448,0.3723,0.3945,0.4069,0.4076,0.3955,0.38,0.3646,0.3537,0.3421,0.3363,0.3648,0.4152,0.4347,0.4468,0.4442,0.4373,0.4375,0.4458,0.4781,0.5211,0.5653,0.6041
"4",12.9,0.0411,0.0584,0.0773,0.09,0.0895,0.0783,0.0708,0.0674,0.064,0.0636,0.0721,0.0884,0.1047,0.1314,0.1936,0.2556,0.2809,0.2824,0.2709,0.2553,0.2426,0.234,0.227,0.2157,0.1993,0.1828,0.1702,0.1668,0.1835,0.1926,0.199,0.2062,0.2099,0.2056,0.195,0.1857,0.1794,0.1989,0.2829,0.4226,0.4962,0.4765,0.4344,0.3929,0.3667,0.3729,0.3998,0.4188,0.4285,0.4286,0.4167,0.4046,0.3925,0.3831,0.3707,0.3634,0.3929,0.4437,0.4634,0.4746,0.4727,0.4668,0.4663,0.4756,0.5078,0.5516,0.5967,0.6316
"5",11.2,0.0398,0.0564,0.0743,0.0866,0.0866,0.0759,0.0686,0.0651,0.0616,0.0612,0.0687,0.0843,0.0994,0.1241,0.1824,0.2417,0.2663,0.2673,0.2567,0.242,0.23,0.2225,0.216,0.2058,0.1899,0.1739,0.1617,0.1576,0.1731,0.182,0.1875,0.1953,0.1989,0.1949,0.1846,0.1758,0.169,0.1865,0.2643,0.3953,0.465,0.4452,0.4046,0.3652,0.3418,0.3504,0.3777,0.3991,0.4104,0.4111,0.3999,0.3861,0.373,0.3633,0.3517,0.3452,0.373,0.4233,0.4415,0.4534,0.451,0.4439,0.4442,0.4516,0.4839,0.5251,0.5699,0.6089
"6",11,0.0393,0.0568,0.0759,0.0889,0.0891,0.0775,0.0701,0.0664,0.0625,0.0621,0.07,0.0867,0.1031,0.1288,0.1902,0.2535,0.2797,0.2812,0.2701,0.2549,0.2424,0.2346,0.2281,0.2171,0.2001,0.1832,0.1703,0.1661,0.1827,0.1919,0.1977,0.2057,0.2096,0.2053,0.1941,0.1847,0.1776,0.1952,0.2765,0.4141,0.4876,0.4666,0.424,0.3828,0.3582,0.3678,0.3977,0.4202,0.4329,0.4336,0.4213,0.4066,0.3923,0.3815,0.3686,0.3618,0.3918,0.445,0.4651,0.4764,0.4744,0.4666,0.4665,0.4746,0.5083,0.5521,0.5978,0.6349
"7",8,0.0375,0.0544,0.0729,0.0857,0.0862,0.0752,0.0677,0.0641,0.0602,0.0598,0.0677,0.0838,0.0997,0.1247,0.1851,0.2475,0.273,0.2743,0.2627,0.2476,0.2356,0.2282,0.2223,0.2118,0.1952,0.1786,0.1656,0.1607,0.1759,0.1853,0.1903,0.1989,0.2034,0.1992,0.1883,0.179,0.172,0.1894,0.2682,0.4026,0.4736,0.4522,0.4088,0.3682,0.3453,0.3548,0.3837,0.4077,0.4214,0.4221,0.4093,0.393,0.3768,0.3655,0.3532,0.3476,0.3769,0.4293,0.4494,0.4613,0.4594,0.4515,0.4515,0.46,0.4927,0.5369,0.5822,0.6196
"8",12.3,0.0404,0.0589,0.0789,0.0927,0.0925,0.0804,0.0728,0.0691,0.0652,0.0647,0.0735,0.0912,0.1084,0.1357,0.1998,0.2651,0.2922,0.2936,0.2824,0.2669,0.2535,0.245,0.2381,0.2266,0.2092,0.1918,0.1786,0.1746,0.1925,0.2017,0.2085,0.2163,0.22,0.2152,0.2038,0.1944,0.1869,0.2057,0.2914,0.4354,0.5112,0.4893,0.4459,0.4029,0.3771,0.3864,0.4169,0.4388,0.4507,0.4506,0.4383,0.4245,0.4112,0.4006,0.3869,0.3798,0.4101,0.4655,0.4851,0.4975,0.4955,0.4881,0.4878,0.4954,0.5305,0.5745,0.6228,0.6607
"9",10.5,0.0383,0.0539,0.0717,0.0842,0.0842,0.0737,0.0663,0.0631,0.0592,0.0586,0.0663,0.0818,0.0971,0.1213,0.1795,0.2385,0.2628,0.2639,0.2532,0.2388,0.227,0.2193,0.2133,0.2027,0.1869,0.1711,0.1589,0.1548,0.1701,0.1792,0.1843,0.1922,0.1961,0.1919,0.1818,0.1729,0.1664,0.1834,0.2604,0.3911,0.4602,0.4402,0.3995,0.3604,0.3373,0.3461,0.374,0.3953,0.4078,0.4081,0.3967,0.3832,0.3691,0.3596,0.3482,0.3423,0.3705,0.4211,0.4404,0.4517,0.4497,0.4432,0.4435,0.452,0.4847,0.5284,0.5734,0.6131
"10",9,0.0408,0.0593,0.0794,0.0932,0.0934,0.0815,0.0739,0.0703,0.0662,0.0655,0.0744,0.0921,0.1091,0.1365,0.2016,0.268,0.2959,0.2974,0.2852,0.2695,0.256,0.2485,0.2418,0.2308,0.2132,0.1954,0.1817,0.1768,0.1935,0.203,0.2089,0.218,0.2223,0.2175,0.206,0.1963,0.1888,0.2073,0.293,0.4369,0.5131,0.4903,0.4449,0.4015,0.3763,0.3862,0.4166,0.441,0.4552,0.4549,0.442,0.4254,0.4087,0.3965,0.3825,0.3765,0.4074,0.4638,0.4845,0.4978,0.4958,0.4868,0.4874,0.4954,0.5313,0.5777,0.6259,0.665
